[run_batch] 432 runs planned.
[38/432] done variant=V4_personalized_fanout persona=budget_highstem_phd query_id=q_6
[39/432] done variant=V3_fanout_only_personalization persona=budget_highstem_phd query_id=q_6
[40/432] done variant=V1_generic_fanout persona=budget_highstem_phd query_id=q_7
[41/432] done variant=V3_fanout_only_personalization persona=budget_highstem_phd query_id=q_7
[42/432] done variant=V4_personalized_fanout persona=budget_highstem_phd query_id=q_7
[43/432] done variant=V5_mixed_fanout persona=budget_highstem_phd query_id=q_6
[44/432] done variant=V2_synthesis_only_personalization persona=budget_highstem_phd query_id=q_7
[45/432] done variant=V0_generic_single persona=modbudget_nonstem_switcher query_id=q_11
[46/432] done variant=V1_generic_fanout persona=budget_highstem_phd query_id=q_8
[47/432] done variant=V4_personalized_fanout persona=budget_highstem_phd query_id=q_8
[48/432] done variant=V5_mixed_fanout persona=budget_highstem_phd query_id=q_7
[49/432] done variant=V5_mixed_fanout persona=budget_highstem_phd query_id=q_8
[50/432] done variant=V2_synthesis_only_personalization persona=budget_highstem_phd query_id=q_8
[51/432] done variant=V3_fanout_only_personalization persona=budget_highstem_phd query_id=q_8
[52/432] done variant=V2_synthesis_only_personalization persona=modbudget_nonstem_switcher query_id=q_9
[53/432] done variant=V4_personalized_fanout persona=modbudget_nonstem_switcher query_id=q_9
[54/432] done variant=V1_generic_fanout persona=modbudget_nonstem_switcher query_id=q_9
[55/432] done variant=V0_generic_single persona=modbudget_nonstem_switcher query_id=q_12
[56/432] done variant=V1_generic_fanout persona=modbudget_nonstem_switcher query_id=q_10
[57/432] done variant=V3_fanout_only_personalization persona=modbudget_nonstem_switcher query_id=q_9
[58/432] done variant=V0_generic_single persona=highbudget_highstem_pro query_id=q_13
[59/432] done variant=V5_mixed_fanout persona=modbudget_nonstem_switcher query_id=q_9
[60/432] done variant=V0_generic_single persona=highbudget_highstem_pro query_id=q_14
[61/432] done variant=V3_fanout_only_personalization persona=modbudget_nonstem_switcher query_id=q_10
[62/432] done variant=V2_synthesis_only_personalization persona=modbudget_nonstem_switcher query_id=q_10
[63/432] done variant=V5_mixed_fanout persona=modbudget_nonstem_switcher query_id=q_10
[64/432] done variant=V4_personalized_fanout persona=modbudget_nonstem_switcher query_id=q_10
[65/432] done variant=V1_generic_fanout persona=modbudget_nonstem_switcher query_id=q_11
[66/432] done variant=V2_synthesis_only_personalization persona=modbudget_nonstem_switcher query_id=q_11
[67/432] done variant=V3_fanout_only_personalization persona=modbudget_nonstem_switcher query_id=q_11
[68/432] done variant=V0_generic_single persona=highbudget_highstem_pro query_id=q_15
[69/432] done variant=V1_generic_fanout persona=modbudget_nonstem_switcher query_id=q_12
[70/432] done variant=V5_mixed_fanout persona=modbudget_nonstem_switcher query_id=q_11
[71/432] done variant=V4_personalized_fanout persona=modbudget_nonstem_switcher query_id=q_11
[72/432] done variant=V2_synthesis_only_personalization persona=modbudget_nonstem_switcher query_id=q_12
[73/432] done variant=V3_fanout_only_personalization persona=modbudget_nonstem_switcher query_id=q_12
[74/432] done variant=V5_mixed_fanout persona=modbudget_nonstem_switcher query_id=q_12
[75/432] done variant=V0_generic_single persona=highbudget_highstem_pro query_id=q_16
[76/432] done variant=V4_personalized_fanout persona=modbudget_nonstem_switcher query_id=q_12
[77/432] done variant=V2_synthesis_only_personalization persona=highbudget_highstem_pro query_id=q_13
[78/432] done variant=V1_generic_fanout persona=highbudget_highstem_pro query_id=q_13
[79/432] done variant=V3_fanout_only_personalization persona=highbudget_highstem_pro query_id=q_13
[80/432] done variant=V1_generic_fanout persona=highbudget_highstem_pro query_id=q_14
[81/432] done variant=V4_personalized_fanout persona=highbudget_highstem_pro query_id=q_13
[82/432] done variant=V0_generic_single persona=family_modbudget query_id=q_17
[83/432] done variant=V5_mixed_fanout persona=highbudget_highstem_pro query_id=q_13
[84/432] done variant=V2_synthesis_only_personalization persona=highbudget_highstem_pro query_id=q_14
[85/432] done variant=V3_fanout_only_personalization persona=highbudget_highstem_pro query_id=q_14
[86/432] done variant=V4_personalized_fanout persona=highbudget_highstem_pro query_id=q_14
[87/432] done variant=V5_mixed_fanout persona=highbudget_highstem_pro query_id=q_14
[88/432] done variant=V1_generic_fanout persona=highbudget_highstem_pro query_id=q_15
[89/432] done variant=V2_synthesis_only_personalization persona=highbudget_highstem_pro query_id=q_15
[90/432] done variant=V0_generic_single persona=family_modbudget query_id=q_18
[91/432] done variant=V3_fanout_only_personalization persona=highbudget_highstem_pro query_id=q_15
[92/432] done variant=V5_mixed_fanout persona=highbudget_highstem_pro query_id=q_15
[93/432] done variant=V4_personalized_fanout persona=highbudget_highstem_pro query_id=q_15
[94/432] done variant=V0_generic_single persona=family_modbudget query_id=q_19
[95/432] done variant=V1_generic_fanout persona=highbudget_highstem_pro query_id=q_16
[96/432] done variant=V3_fanout_only_personalization persona=highbudget_highstem_pro query_id=q_16
[97/432] done variant=V2_synthesis_only_personalization persona=highbudget_highstem_pro query_id=q_16
[98/432] done variant=V4_personalized_fanout persona=highbudget_highstem_pro query_id=q_16
[99/432] done variant=V0_generic_single persona=family_modbudget query_id=q_20
[100/432] done variant=V5_mixed_fanout persona=highbudget_highstem_pro query_id=q_16
[101/432] done variant=V1_generic_fanout persona=family_modbudget query_id=q_17
[102/432] done variant=V2_synthesis_only_personalization persona=family_modbudget query_id=q_17
[103/432] done variant=V4_personalized_fanout persona=family_modbudget query_id=q_17
[104/432] done variant=V3_fanout_only_personalization persona=family_modbudget query_id=q_17
[105/432] done variant=V0_generic_single persona=intl_newgrad query_id=q_21
[106/432] done variant=V5_mixed_fanout persona=family_modbudget query_id=q_17
[107/432] done variant=V2_synthesis_only_personalization persona=family_modbudget query_id=q_18
[108/432] done variant=V1_generic_fanout persona=family_modbudget query_id=q_18
[109/432] done variant=V3_fanout_only_personalization persona=family_modbudget query_id=q_18
[110/432] done variant=V4_personalized_fanout persona=family_modbudget query_id=q_18
[111/432] done variant=V0_generic_single persona=intl_newgrad query_id=q_22
[112/432] done variant=V5_mixed_fanout persona=family_modbudget query_id=q_18
[113/432] done variant=V1_generic_fanout persona=family_modbudget query_id=q_19
[114/432] done variant=V2_synthesis_only_personalization persona=family_modbudget query_id=q_19
[115/432] done variant=V4_personalized_fanout persona=family_modbudget query_id=q_19
[116/432] done variant=V5_mixed_fanout persona=family_modbudget query_id=q_19
[117/432] done variant=V3_fanout_only_personalization persona=family_modbudget query_id=q_19
[118/432] done variant=V3_fanout_only_personalization persona=family_modbudget query_id=q_20
[119/432] done variant=V0_generic_single persona=intl_newgrad query_id=q_23
[120/432] done variant=V1_generic_fanout persona=family_modbudget query_id=q_20
[121/432] done variant=V2_synthesis_only_personalization persona=family_modbudget query_id=q_20
[122/432] done variant=V4_personalized_fanout persona=family_modbudget query_id=q_20
[123/432] done variant=V0_generic_single persona=intl_newgrad query_id=q_24
[124/432] done variant=V1_generic_fanout persona=intl_newgrad query_id=q_21
[125/432] done variant=V5_mixed_fanout persona=family_modbudget query_id=q_20
[126/432] done variant=V2_synthesis_only_personalization persona=intl_newgrad query_id=q_21
[127/432] done variant=V3_fanout_only_personalization persona=intl_newgrad query_id=q_21
[128/432] done variant=V0_generic_single persona=tenant_low_income_eviction_risk query_id=q_25
[129/432] done variant=V5_mixed_fanout persona=intl_newgrad query_id=q_21
[130/432] done variant=V4_personalized_fanout persona=intl_newgrad query_id=q_21
[131/432] done variant=V3_fanout_only_personalization persona=intl_newgrad query_id=q_22
[132/432] done variant=V2_synthesis_only_personalization persona=intl_newgrad query_id=q_22
[133/432] done variant=V1_generic_fanout persona=intl_newgrad query_id=q_22
[134/432] done variant=V4_personalized_fanout persona=intl_newgrad query_id=q_22
[135/432] done variant=V0_generic_single persona=tenant_low_income_eviction_risk query_id=q_26
[136/432] done variant=V5_mixed_fanout persona=intl_newgrad query_id=q_22
[137/432] done variant=V1_generic_fanout persona=intl_newgrad query_id=q_23
[138/432] done variant=V2_synthesis_only_personalization persona=intl_newgrad query_id=q_23
[139/432] done variant=V3_fanout_only_personalization persona=intl_newgrad query_id=q_23
[140/432] done variant=V0_generic_single persona=tenant_low_income_eviction_risk query_id=q_27
[141/432] done variant=V4_personalized_fanout persona=intl_newgrad query_id=q_23
[142/432] done variant=V5_mixed_fanout persona=intl_newgrad query_id=q_23
[143/432] done variant=V1_generic_fanout persona=intl_newgrad query_id=q_24
[144/432] done variant=V3_fanout_only_personalization persona=intl_newgrad query_id=q_24
[145/432] done variant=V4_personalized_fanout persona=intl_newgrad query_id=q_24
[146/432] done variant=V2_synthesis_only_personalization persona=intl_newgrad query_id=q_24
[147/432] done variant=V0_generic_single persona=immigrant_worker_visa_uncertain query_id=q_28
[148/432] done variant=V1_generic_fanout persona=tenant_low_income_eviction_risk query_id=q_25
[149/432] done variant=V5_mixed_fanout persona=intl_newgrad query_id=q_24
[150/432] done variant=V2_synthesis_only_personalization persona=tenant_low_income_eviction_risk query_id=q_25
[151/432] done variant=V3_fanout_only_personalization persona=tenant_low_income_eviction_risk query_id=q_25
[152/432] done variant=V4_personalized_fanout persona=tenant_low_income_eviction_risk query_id=q_25
[153/432] done variant=V5_mixed_fanout persona=tenant_low_income_eviction_risk query_id=q_25
[154/432] done variant=V1_generic_fanout persona=tenant_low_income_eviction_risk query_id=q_26
[155/432] done variant=V0_generic_single persona=tenant_low_income_eviction_risk query_id=q_29
[156/432] done variant=V3_fanout_only_personalization persona=tenant_low_income_eviction_risk query_id=q_26
[157/432] done variant=V2_synthesis_only_personalization persona=tenant_low_income_eviction_risk query_id=q_26
[158/432] done variant=V4_personalized_fanout persona=tenant_low_income_eviction_risk query_id=q_26
[159/432] done variant=V0_generic_single persona=small_business_owner_contracts query_id=q_30
[160/432] done variant=V1_generic_fanout persona=tenant_low_income_eviction_risk query_id=q_27
[161/432] done variant=V5_mixed_fanout persona=tenant_low_income_eviction_risk query_id=q_26
[162/432] done variant=V2_synthesis_only_personalization persona=tenant_low_income_eviction_risk query_id=q_27
[163/432] done variant=V3_fanout_only_personalization persona=tenant_low_income_eviction_risk query_id=q_27
[164/432] done variant=V1_generic_fanout persona=immigrant_worker_visa_uncertain query_id=q_28
[165/432] done variant=V0_generic_single persona=immigrant_worker_visa_uncertain query_id=q_31
[166/432] done variant=V4_personalized_fanout persona=tenant_low_income_eviction_risk query_id=q_27
[167/432] done variant=V5_mixed_fanout persona=tenant_low_income_eviction_risk query_id=q_27
[168/432] done variant=V4_personalized_fanout persona=immigrant_worker_visa_uncertain query_id=q_28
[169/432] done variant=V2_synthesis_only_personalization persona=immigrant_worker_visa_uncertain query_id=q_28
[170/432] done variant=V3_fanout_only_personalization persona=immigrant_worker_visa_uncertain query_id=q_28
[171/432] done variant=V0_generic_single persona=immigrant_worker_visa_uncertain query_id=q_32
[172/432] done variant=V1_generic_fanout persona=tenant_low_income_eviction_risk query_id=q_29
[173/432] done variant=V5_mixed_fanout persona=immigrant_worker_visa_uncertain query_id=q_28
[174/432] done variant=V3_fanout_only_personalization persona=tenant_low_income_eviction_risk query_id=q_29
[175/432] done variant=V2_synthesis_only_personalization persona=tenant_low_income_eviction_risk query_id=q_29
[176/432] done variant=V0_generic_single persona=immigrant_worker_visa_uncertain query_id=q_33
[177/432] done variant=V4_personalized_fanout persona=tenant_low_income_eviction_risk query_id=q_29
[178/432] done variant=V5_mixed_fanout persona=tenant_low_income_eviction_risk query_id=q_29
[179/432] done variant=V1_generic_fanout persona=small_business_owner_contracts query_id=q_30
[180/432] done variant=V2_synthesis_only_personalization persona=small_business_owner_contracts query_id=q_30
[181/432] done variant=V4_personalized_fanout persona=small_business_owner_contracts query_id=q_30
[182/432] done variant=V5_mixed_fanout persona=small_business_owner_contracts query_id=q_30
[183/432] done variant=V1_generic_fanout persona=immigrant_worker_visa_uncertain query_id=q_31
[184/432] done variant=V3_fanout_only_personalization persona=immigrant_worker_visa_uncertain query_id=q_31
[185/432] done variant=V0_generic_single persona=small_business_owner_contracts query_id=q_34
[186/432] done variant=V3_fanout_only_personalization persona=small_business_owner_contracts query_id=q_30
[187/432] done variant=V2_synthesis_only_personalization persona=immigrant_worker_visa_uncertain query_id=q_31
[188/432] done variant=V4_personalized_fanout persona=immigrant_worker_visa_uncertain query_id=q_31
[189/432] done variant=V5_mixed_fanout persona=immigrant_worker_visa_uncertain query_id=q_31
[190/432] done variant=V1_generic_fanout persona=immigrant_worker_visa_uncertain query_id=q_32
[191/432] done variant=V0_generic_single persona=small_business_owner_contracts query_id=q_35
[192/432] done variant=V2_synthesis_only_personalization persona=immigrant_worker_visa_uncertain query_id=q_32
[193/432] done variant=V3_fanout_only_personalization persona=immigrant_worker_visa_uncertain query_id=q_32
[194/432] done variant=V4_personalized_fanout persona=immigrant_worker_visa_uncertain query_id=q_32
[195/432] done variant=V0_generic_single persona=divorced_parent_custody_schedule query_id=q_36
[196/432] done variant=V1_generic_fanout persona=immigrant_worker_visa_uncertain query_id=q_33
[197/432] done variant=V5_mixed_fanout persona=immigrant_worker_visa_uncertain query_id=q_32
[198/432] done variant=V2_synthesis_only_personalization persona=immigrant_worker_visa_uncertain query_id=q_33
[199/432] done variant=V3_fanout_only_personalization persona=immigrant_worker_visa_uncertain query_id=q_33
[200/432] done variant=V0_generic_single persona=divorced_parent_custody_schedule query_id=q_37
[201/432] done variant=V1_generic_fanout persona=small_business_owner_contracts query_id=q_34
[202/432] done variant=V4_personalized_fanout persona=immigrant_worker_visa_uncertain query_id=q_33
[203/432] done variant=V5_mixed_fanout persona=immigrant_worker_visa_uncertain query_id=q_33
[204/432] done variant=V4_personalized_fanout persona=small_business_owner_contracts query_id=q_34
[205/432] done variant=V2_synthesis_only_personalization persona=small_business_owner_contracts query_id=q_34
[206/432] done variant=V3_fanout_only_personalization persona=small_business_owner_contracts query_id=q_34
[207/432] done variant=V5_mixed_fanout persona=small_business_owner_contracts query_id=q_34
[208/432] done variant=V1_generic_fanout persona=small_business_owner_contracts query_id=q_35
[209/432] done variant=V0_generic_single persona=small_business_owner_contracts query_id=q_38
[210/432] done variant=V3_fanout_only_personalization persona=small_business_owner_contracts query_id=q_35
[211/432] done variant=V4_personalized_fanout persona=small_business_owner_contracts query_id=q_35
[212/432] done variant=V2_synthesis_only_personalization persona=small_business_owner_contracts query_id=q_35
[213/432] done variant=V1_generic_fanout persona=divorced_parent_custody_schedule query_id=q_36
[214/432] done variant=V5_mixed_fanout persona=small_business_owner_contracts query_id=q_35
[215/432] done variant=V2_synthesis_only_personalization persona=divorced_parent_custody_schedule query_id=q_36
[216/432] done variant=V0_generic_single persona=divorced_parent_custody_schedule query_id=q_39
[217/432] done variant=V3_fanout_only_personalization persona=divorced_parent_custody_schedule query_id=q_36
[218/432] done variant=V4_personalized_fanout persona=divorced_parent_custody_schedule query_id=q_36
[219/432] done variant=V5_mixed_fanout persona=divorced_parent_custody_schedule query_id=q_36
[220/432] done variant=V2_synthesis_only_personalization persona=divorced_parent_custody_schedule query_id=q_37
[221/432] done variant=V1_generic_fanout persona=divorced_parent_custody_schedule query_id=q_37
[222/432] done variant=V0_generic_single persona=divorced_parent_custody_schedule query_id=q_40
[223/432] done variant=V3_fanout_only_personalization persona=divorced_parent_custody_schedule query_id=q_37
[224/432] done variant=V4_personalized_fanout persona=divorced_parent_custody_schedule query_id=q_37
[225/432] done variant=V1_generic_fanout persona=small_business_owner_contracts query_id=q_38
[226/432] done variant=V0_generic_single persona=employee_noncompete_layoff query_id=q_41
[227/432] done variant=V5_mixed_fanout persona=divorced_parent_custody_schedule query_id=q_37
[228/432] done variant=V3_fanout_only_personalization persona=small_business_owner_contracts query_id=q_38
[229/432] done variant=V0_generic_single persona=employee_noncompete_layoff query_id=q_42
[230/432] done variant=V2_synthesis_only_personalization persona=small_business_owner_contracts query_id=q_38
[231/432] done variant=V4_personalized_fanout persona=small_business_owner_contracts query_id=q_38
[232/432] done variant=V5_mixed_fanout persona=small_business_owner_contracts query_id=q_38
[233/432] done variant=V1_generic_fanout persona=divorced_parent_custody_schedule query_id=q_39
[234/432] done variant=V2_synthesis_only_personalization persona=divorced_parent_custody_schedule query_id=q_39
[235/432] done variant=V4_personalized_fanout persona=divorced_parent_custody_schedule query_id=q_39
[236/432] done variant=V3_fanout_only_personalization persona=divorced_parent_custody_schedule query_id=q_39
[237/432] done variant=V1_generic_fanout persona=divorced_parent_custody_schedule query_id=q_40
[238/432] done variant=V0_generic_single persona=employee_noncompete_layoff query_id=q_43
[239/432] done variant=V5_mixed_fanout persona=divorced_parent_custody_schedule query_id=q_39
[240/432] done variant=V3_fanout_only_personalization persona=divorced_parent_custody_schedule query_id=q_40
[241/432] done variant=V2_synthesis_only_personalization persona=divorced_parent_custody_schedule query_id=q_40
[242/432] done variant=V4_personalized_fanout persona=divorced_parent_custody_schedule query_id=q_40
[243/432] done variant=V2_synthesis_only_personalization persona=employee_noncompete_layoff query_id=q_41
[244/432] done variant=V0_generic_single persona=employee_noncompete_layoff query_id=q_44
[245/432] done variant=V1_generic_fanout persona=employee_noncompete_layoff query_id=q_41
[246/432] done variant=V3_fanout_only_personalization persona=employee_noncompete_layoff query_id=q_41
[247/432] done variant=V5_mixed_fanout persona=divorced_parent_custody_schedule query_id=q_40
[248/432] done variant=V1_generic_fanout persona=employee_noncompete_layoff query_id=q_42
[249/432] done variant=V5_mixed_fanout persona=employee_noncompete_layoff query_id=q_41
[250/432] done variant=V4_personalized_fanout persona=employee_noncompete_layoff query_id=q_41
[251/432] done variant=V0_generic_single persona=privacy_conscious_online_creator query_id=q_45
[252/432] done variant=V2_synthesis_only_personalization persona=employee_noncompete_layoff query_id=q_42
[253/432] done variant=V3_fanout_only_personalization persona=employee_noncompete_layoff query_id=q_42
[254/432] done variant=V5_mixed_fanout persona=employee_noncompete_layoff query_id=q_42
[255/432] done variant=V4_personalized_fanout persona=employee_noncompete_layoff query_id=q_42
[256/432] done variant=V0_generic_single persona=privacy_conscious_online_creator query_id=q_46
[257/432] done variant=V2_synthesis_only_personalization persona=employee_noncompete_layoff query_id=q_43
[258/432] done variant=V1_generic_fanout persona=employee_noncompete_layoff query_id=q_43
[259/432] done variant=V3_fanout_only_personalization persona=employee_noncompete_layoff query_id=q_43
[260/432] done variant=V4_personalized_fanout persona=employee_noncompete_layoff query_id=q_43
[261/432] done variant=V0_generic_single persona=privacy_conscious_online_creator query_id=q_47
[262/432] done variant=V5_mixed_fanout persona=employee_noncompete_layoff query_id=q_43
[263/432] done variant=V1_generic_fanout persona=employee_noncompete_layoff query_id=q_44
[264/432] done variant=V4_personalized_fanout persona=employee_noncompete_layoff query_id=q_44
[265/432] done variant=V0_generic_single persona=privacy_conscious_online_creator query_id=q_48
[266/432] done variant=V2_synthesis_only_personalization persona=employee_noncompete_layoff query_id=q_44
[267/432] done variant=V5_mixed_fanout persona=employee_noncompete_layoff query_id=q_44
[268/432] done variant=V3_fanout_only_personalization persona=employee_noncompete_layoff query_id=q_44
[269/432] done variant=V1_generic_fanout persona=privacy_conscious_online_creator query_id=q_45
[270/432] done variant=V2_synthesis_only_personalization persona=privacy_conscious_online_creator query_id=q_45
[271/432] done variant=V3_fanout_only_personalization persona=privacy_conscious_online_creator query_id=q_45
[272/432] done variant=V4_personalized_fanout persona=privacy_conscious_online_creator query_id=q_45
[273/432] done variant=V1_generic_fanout persona=privacy_conscious_online_creator query_id=q_46
[274/432] done variant=V5_mixed_fanout persona=privacy_conscious_online_creator query_id=q_45
[275/432] done variant=V0_generic_single persona=paycheck_to_paycheck_credit_rebuild query_id=q_49
[276/432] done variant=V3_fanout_only_personalization persona=privacy_conscious_online_creator query_id=q_46
[277/432] done variant=V2_synthesis_only_personalization persona=privacy_conscious_online_creator query_id=q_46
[278/432] done variant=V4_personalized_fanout persona=privacy_conscious_online_creator query_id=q_46
[279/432] done variant=V1_generic_fanout persona=privacy_conscious_online_creator query_id=q_47
[280/432] done variant=V5_mixed_fanout persona=privacy_conscious_online_creator query_id=q_46
[281/432] done variant=V0_generic_single persona=paycheck_to_paycheck_credit_rebuild query_id=q_50
[282/432] done variant=V3_fanout_only_personalization persona=privacy_conscious_online_creator query_id=q_47
[283/432] done variant=V2_synthesis_only_personalization persona=privacy_conscious_online_creator query_id=q_47
[284/432] done variant=V5_mixed_fanout persona=privacy_conscious_online_creator query_id=q_47
[285/432] done variant=V4_personalized_fanout persona=privacy_conscious_online_creator query_id=q_47
[286/432] done variant=V1_generic_fanout persona=privacy_conscious_online_creator query_id=q_48
[287/432] done variant=V0_generic_single persona=paycheck_to_paycheck_credit_rebuild query_id=q_51
[288/432] done variant=V2_synthesis_only_personalization persona=privacy_conscious_online_creator query_id=q_48
[289/432] done variant=V3_fanout_only_personalization persona=privacy_conscious_online_creator query_id=q_48
[290/432] done variant=V1_generic_fanout persona=paycheck_to_paycheck_credit_rebuild query_id=q_51
[291/432] done variant=V4_personalized_fanout persona=privacy_conscious_online_creator query_id=q_48
[292/432] done variant=V0_generic_single persona=paycheck_to_paycheck_credit_rebuild query_id=q_52
[293/432] done variant=V5_mixed_fanout persona=privacy_conscious_online_creator query_id=q_48
[294/432] done variant=V1_generic_fanout persona=paycheck_to_paycheck_credit_rebuild query_id=q_49
[295/432] done variant=V2_synthesis_only_personalization persona=paycheck_to_paycheck_credit_rebuild query_id=q_49
[296/432] done variant=V3_fanout_only_personalization persona=paycheck_to_paycheck_credit_rebuild query_id=q_49
[297/432] done variant=V5_mixed_fanout persona=paycheck_to_paycheck_credit_rebuild query_id=q_49
[298/432] done variant=V4_personalized_fanout persona=paycheck_to_paycheck_credit_rebuild query_id=q_49
[299/432] done variant=V0_generic_single persona=high_income_low_time_tech_worker query_id=q_53
[300/432] done variant=V1_generic_fanout persona=paycheck_to_paycheck_credit_rebuild query_id=q_50
[301/432] done variant=V5_mixed_fanout persona=paycheck_to_paycheck_credit_rebuild query_id=q_50
[302/432] done variant=V2_synthesis_only_personalization persona=paycheck_to_paycheck_credit_rebuild query_id=q_50
[303/432] done variant=V3_fanout_only_personalization persona=paycheck_to_paycheck_credit_rebuild query_id=q_50
[304/432] done variant=V0_generic_single persona=high_income_low_time_tech_worker query_id=q_54
[305/432] done variant=V4_personalized_fanout persona=paycheck_to_paycheck_credit_rebuild query_id=q_50
[306/432] done variant=V3_fanout_only_personalization persona=paycheck_to_paycheck_credit_rebuild query_id=q_51
[307/432] done variant=V2_synthesis_only_personalization persona=paycheck_to_paycheck_credit_rebuild query_id=q_51
[308/432] done variant=V5_mixed_fanout persona=paycheck_to_paycheck_credit_rebuild query_id=q_51
[309/432] done variant=V1_generic_fanout persona=paycheck_to_paycheck_credit_rebuild query_id=q_52
[310/432] done variant=V2_synthesis_only_personalization persona=paycheck_to_paycheck_credit_rebuild query_id=q_52
[311/432] done variant=V0_generic_single persona=high_income_low_time_tech_worker query_id=q_55
[312/432] done variant=V4_personalized_fanout persona=paycheck_to_paycheck_credit_rebuild query_id=q_51
[313/432] done variant=V3_fanout_only_personalization persona=paycheck_to_paycheck_credit_rebuild query_id=q_52
[314/432] done variant=V4_personalized_fanout persona=paycheck_to_paycheck_credit_rebuild query_id=q_52
[315/432] done variant=V5_mixed_fanout persona=paycheck_to_paycheck_credit_rebuild query_id=q_52
[316/432] done variant=V0_generic_single persona=first_gen_college_grad_student_loans query_id=q_56
[317/432] done variant=V1_generic_fanout persona=high_income_low_time_tech_worker query_id=q_53
[318/432] done variant=V2_synthesis_only_personalization persona=high_income_low_time_tech_worker query_id=q_53
[319/432] done variant=V3_fanout_only_personalization persona=high_income_low_time_tech_worker query_id=q_53
[320/432] done variant=V2_synthesis_only_personalization persona=first_gen_college_grad_student_loans query_id=q_56
[321/432] done variant=V5_mixed_fanout persona=high_income_low_time_tech_worker query_id=q_53
[322/432] done variant=V4_personalized_fanout persona=high_income_low_time_tech_worker query_id=q_53
[323/432] done variant=V1_generic_fanout persona=high_income_low_time_tech_worker query_id=q_54
[324/432] done variant=V0_generic_single persona=high_income_low_time_tech_worker query_id=q_57
[325/432] done variant=V2_synthesis_only_personalization persona=high_income_low_time_tech_worker query_id=q_54
[326/432] done variant=V3_fanout_only_personalization persona=high_income_low_time_tech_worker query_id=q_54
[327/432] done variant=V4_personalized_fanout persona=high_income_low_time_tech_worker query_id=q_54
[328/432] done variant=V0_generic_single persona=first_gen_college_grad_student_loans query_id=q_58
[329/432] done variant=V5_mixed_fanout persona=high_income_low_time_tech_worker query_id=q_54
[330/432] done variant=V2_synthesis_only_personalization persona=high_income_low_time_tech_worker query_id=q_55
[331/432] done variant=V1_generic_fanout persona=high_income_low_time_tech_worker query_id=q_55
[332/432] done variant=V3_fanout_only_personalization persona=high_income_low_time_tech_worker query_id=q_55
[333/432] done variant=V4_personalized_fanout persona=high_income_low_time_tech_worker query_id=q_55
[334/432] done variant=V0_generic_single persona=first_gen_college_grad_student_loans query_id=q_59
