[run_batch] 432 runs planned.
[91/432] done variant=V5_mixed_fanout persona=highbudget_highstem_pro query_id=q_15
[92/432] done variant=V1_generic_fanout persona=highbudget_highstem_pro query_id=q_16
[93/432] done variant=V0_generic_single persona=family_modbudget query_id=q_17
[94/432] done variant=V2_synthesis_only_personalization persona=highbudget_highstem_pro query_id=q_16
[95/432] done variant=V4_personalized_fanout persona=highbudget_highstem_pro query_id=q_16
[96/432] done variant=V3_fanout_only_personalization persona=highbudget_highstem_pro query_id=q_16
[97/432] done variant=V5_mixed_fanout persona=highbudget_highstem_pro query_id=q_16
[98/432] done variant=V0_generic_single persona=family_modbudget query_id=q_18
[99/432] done variant=V1_generic_fanout persona=family_modbudget query_id=q_17
[100/432] done variant=V2_synthesis_only_personalization persona=family_modbudget query_id=q_17
[101/432] done variant=V3_fanout_only_personalization persona=family_modbudget query_id=q_17
[102/432] done variant=V4_personalized_fanout persona=family_modbudget query_id=q_17
[103/432] done variant=V5_mixed_fanout persona=family_modbudget query_id=q_17
[104/432] done variant=V1_generic_fanout persona=family_modbudget query_id=q_18
[105/432] done variant=V0_generic_single persona=family_modbudget query_id=q_19
[106/432] done variant=V2_synthesis_only_personalization persona=family_modbudget query_id=q_18
[107/432] done variant=V3_fanout_only_personalization persona=family_modbudget query_id=q_18
[108/432] done variant=V1_generic_fanout persona=family_modbudget query_id=q_19
[109/432] done variant=V4_personalized_fanout persona=family_modbudget query_id=q_18
[110/432] done variant=V5_mixed_fanout persona=family_modbudget query_id=q_18
[111/432] done variant=V2_synthesis_only_personalization persona=family_modbudget query_id=q_19
[112/432] done variant=V0_generic_single persona=family_modbudget query_id=q_20
[113/432] done variant=V3_fanout_only_personalization persona=family_modbudget query_id=q_19
[114/432] done variant=V4_personalized_fanout persona=family_modbudget query_id=q_19
[115/432] done variant=V5_mixed_fanout persona=family_modbudget query_id=q_19
[116/432] done variant=V1_generic_fanout persona=family_modbudget query_id=q_20
[117/432] done variant=V0_generic_single persona=intl_newgrad query_id=q_21
[118/432] done variant=V3_fanout_only_personalization persona=family_modbudget query_id=q_20
[119/432] done variant=V2_synthesis_only_personalization persona=family_modbudget query_id=q_20
[120/432] done variant=V5_mixed_fanout persona=family_modbudget query_id=q_20
[121/432] done variant=V1_generic_fanout persona=intl_newgrad query_id=q_21
[122/432] done variant=V0_generic_single persona=intl_newgrad query_id=q_22
[123/432] done variant=V2_synthesis_only_personalization persona=intl_newgrad query_id=q_21
[124/432] done variant=V3_fanout_only_personalization persona=intl_newgrad query_id=q_21
[125/432] done variant=V4_personalized_fanout persona=family_modbudget query_id=q_20
[126/432] done variant=V4_personalized_fanout persona=intl_newgrad query_id=q_21
[127/432] done variant=V5_mixed_fanout persona=intl_newgrad query_id=q_21
[128/432] done variant=V1_generic_fanout persona=intl_newgrad query_id=q_22
[129/432] done variant=V2_synthesis_only_personalization persona=intl_newgrad query_id=q_22
[130/432] done variant=V0_generic_single persona=intl_newgrad query_id=q_23
[131/432] done variant=V5_mixed_fanout persona=intl_newgrad query_id=q_22
[132/432] done variant=V3_fanout_only_personalization persona=intl_newgrad query_id=q_22
[133/432] done variant=V4_personalized_fanout persona=intl_newgrad query_id=q_22
[134/432] done variant=V1_generic_fanout persona=intl_newgrad query_id=q_23
[135/432] done variant=V2_synthesis_only_personalization persona=intl_newgrad query_id=q_23
[136/432] done variant=V0_generic_single persona=intl_newgrad query_id=q_24
[137/432] done variant=V3_fanout_only_personalization persona=intl_newgrad query_id=q_23
[138/432] done variant=V1_generic_fanout persona=intl_newgrad query_id=q_24
[139/432] done variant=V4_personalized_fanout persona=intl_newgrad query_id=q_23
[140/432] done variant=V5_mixed_fanout persona=intl_newgrad query_id=q_23
[141/432] done variant=V0_generic_single persona=tenant_low_income_eviction_risk query_id=q_25
[142/432] done variant=V2_synthesis_only_personalization persona=intl_newgrad query_id=q_24
[143/432] done variant=V3_fanout_only_personalization persona=intl_newgrad query_id=q_24
[144/432] done variant=V4_personalized_fanout persona=intl_newgrad query_id=q_24
[145/432] done variant=V5_mixed_fanout persona=intl_newgrad query_id=q_24
[146/432] done variant=V1_generic_fanout persona=tenant_low_income_eviction_risk query_id=q_25
[147/432] done variant=V0_generic_single persona=tenant_low_income_eviction_risk query_id=q_26
[148/432] done variant=V2_synthesis_only_personalization persona=tenant_low_income_eviction_risk query_id=q_25
[149/432] done variant=V3_fanout_only_personalization persona=tenant_low_income_eviction_risk query_id=q_25
[150/432] done variant=V4_personalized_fanout persona=tenant_low_income_eviction_risk query_id=q_25
[151/432] done variant=V5_mixed_fanout persona=tenant_low_income_eviction_risk query_id=q_25
[152/432] done variant=V0_generic_single persona=tenant_low_income_eviction_risk query_id=q_27
[153/432] done variant=V1_generic_fanout persona=tenant_low_income_eviction_risk query_id=q_26
[154/432] done variant=V2_synthesis_only_personalization persona=tenant_low_income_eviction_risk query_id=q_26
[155/432] done variant=V3_fanout_only_personalization persona=tenant_low_income_eviction_risk query_id=q_26
[156/432] done variant=V4_personalized_fanout persona=tenant_low_income_eviction_risk query_id=q_26
[157/432] done variant=V5_mixed_fanout persona=tenant_low_income_eviction_risk query_id=q_26
[158/432] done variant=V1_generic_fanout persona=tenant_low_income_eviction_risk query_id=q_27
[159/432] done variant=V0_generic_single persona=immigrant_worker_visa_uncertain query_id=q_28
[160/432] done variant=V2_synthesis_only_personalization persona=tenant_low_income_eviction_risk query_id=q_27
[161/432] done variant=V3_fanout_only_personalization persona=tenant_low_income_eviction_risk query_id=q_27
[162/432] done variant=V4_personalized_fanout persona=tenant_low_income_eviction_risk query_id=q_27
[163/432] done variant=V5_mixed_fanout persona=tenant_low_income_eviction_risk query_id=q_27
[164/432] done variant=V0_generic_single persona=tenant_low_income_eviction_risk query_id=q_29
[165/432] done variant=V2_synthesis_only_personalization persona=immigrant_worker_visa_uncertain query_id=q_28
[166/432] done variant=V1_generic_fanout persona=immigrant_worker_visa_uncertain query_id=q_28
[167/432] done variant=V4_personalized_fanout persona=immigrant_worker_visa_uncertain query_id=q_28
[168/432] done variant=V3_fanout_only_personalization persona=immigrant_worker_visa_uncertain query_id=q_28
[169/432] done variant=V5_mixed_fanout persona=immigrant_worker_visa_uncertain query_id=q_28
[170/432] done variant=V1_generic_fanout persona=tenant_low_income_eviction_risk query_id=q_29
[171/432] done variant=V0_generic_single persona=small_business_owner_contracts query_id=q_30
[172/432] done variant=V2_synthesis_only_personalization persona=tenant_low_income_eviction_risk query_id=q_29
[173/432] done variant=V3_fanout_only_personalization persona=tenant_low_income_eviction_risk query_id=q_29
[174/432] done variant=V4_personalized_fanout persona=tenant_low_income_eviction_risk query_id=q_29
[175/432] done variant=V5_mixed_fanout persona=tenant_low_income_eviction_risk query_id=q_29
[176/432] done variant=V0_generic_single persona=immigrant_worker_visa_uncertain query_id=q_31
[177/432] done variant=V1_generic_fanout persona=small_business_owner_contracts query_id=q_30
[178/432] done variant=V2_synthesis_only_personalization persona=small_business_owner_contracts query_id=q_30
[179/432] done variant=V3_fanout_only_personalization persona=small_business_owner_contracts query_id=q_30
[180/432] done variant=V4_personalized_fanout persona=small_business_owner_contracts query_id=q_30
[181/432] done variant=V1_generic_fanout persona=immigrant_worker_visa_uncertain query_id=q_31
[182/432] done variant=V5_mixed_fanout persona=small_business_owner_contracts query_id=q_30
[183/432] done variant=V0_generic_single persona=immigrant_worker_visa_uncertain query_id=q_32
[184/432] done variant=V2_synthesis_only_personalization persona=immigrant_worker_visa_uncertain query_id=q_31
[185/432] done variant=V3_fanout_only_personalization persona=immigrant_worker_visa_uncertain query_id=q_31
[186/432] done variant=V4_personalized_fanout persona=immigrant_worker_visa_uncertain query_id=q_31
[187/432] done variant=V5_mixed_fanout persona=immigrant_worker_visa_uncertain query_id=q_31
[188/432] done variant=V1_generic_fanout persona=immigrant_worker_visa_uncertain query_id=q_32
[189/432] done variant=V0_generic_single persona=immigrant_worker_visa_uncertain query_id=q_33
[190/432] done variant=V2_synthesis_only_personalization persona=immigrant_worker_visa_uncertain query_id=q_32
[191/432] done variant=V3_fanout_only_personalization persona=immigrant_worker_visa_uncertain query_id=q_32
[192/432] done variant=V5_mixed_fanout persona=immigrant_worker_visa_uncertain query_id=q_32
[193/432] done variant=V1_generic_fanout persona=immigrant_worker_visa_uncertain query_id=q_33
[194/432] done variant=V4_personalized_fanout persona=immigrant_worker_visa_uncertain query_id=q_32
[195/432] done variant=V2_synthesis_only_personalization persona=immigrant_worker_visa_uncertain query_id=q_33
[196/432] done variant=V3_fanout_only_personalization persona=immigrant_worker_visa_uncertain query_id=q_33
[197/432] done variant=V0_generic_single persona=small_business_owner_contracts query_id=q_34
[198/432] done variant=V4_personalized_fanout persona=immigrant_worker_visa_uncertain query_id=q_33
[199/432] done variant=V0_generic_single persona=small_business_owner_contracts query_id=q_35
[200/432] done variant=V1_generic_fanout persona=small_business_owner_contracts query_id=q_34
[201/432] done variant=V5_mixed_fanout persona=immigrant_worker_visa_uncertain query_id=q_33
[202/432] done variant=V2_synthesis_only_personalization persona=small_business_owner_contracts query_id=q_34
[203/432] done variant=V4_personalized_fanout persona=small_business_owner_contracts query_id=q_34
[204/432] done variant=V3_fanout_only_personalization persona=small_business_owner_contracts query_id=q_34
[205/432] done variant=V5_mixed_fanout persona=small_business_owner_contracts query_id=q_34
[206/432] done variant=V1_generic_fanout persona=small_business_owner_contracts query_id=q_35
[207/432] done variant=V0_generic_single persona=divorced_parent_custody_schedule query_id=q_36
[208/432] done variant=V2_synthesis_only_personalization persona=small_business_owner_contracts query_id=q_35
[209/432] done variant=V3_fanout_only_personalization persona=small_business_owner_contracts query_id=q_35
[210/432] done variant=V4_personalized_fanout persona=small_business_owner_contracts query_id=q_35
[211/432] done variant=V5_mixed_fanout persona=small_business_owner_contracts query_id=q_35
[212/432] done variant=V2_synthesis_only_personalization persona=divorced_parent_custody_schedule query_id=q_36
[213/432] done variant=V1_generic_fanout persona=divorced_parent_custody_schedule query_id=q_36
[214/432] done variant=V0_generic_single persona=divorced_parent_custody_schedule query_id=q_37
[215/432] done variant=V3_fanout_only_personalization persona=divorced_parent_custody_schedule query_id=q_36
[216/432] done variant=V4_personalized_fanout persona=divorced_parent_custody_schedule query_id=q_36
[217/432] done variant=V1_generic_fanout persona=divorced_parent_custody_schedule query_id=q_37
[218/432] done variant=V5_mixed_fanout persona=divorced_parent_custody_schedule query_id=q_36
[219/432] done variant=V2_synthesis_only_personalization persona=divorced_parent_custody_schedule query_id=q_37
[220/432] done variant=V0_generic_single persona=small_business_owner_contracts query_id=q_38
[221/432] done variant=V3_fanout_only_personalization persona=divorced_parent_custody_schedule query_id=q_37
[222/432] done variant=V4_personalized_fanout persona=divorced_parent_custody_schedule query_id=q_37
[223/432] done variant=V5_mixed_fanout persona=divorced_parent_custody_schedule query_id=q_37
[224/432] done variant=V1_generic_fanout persona=small_business_owner_contracts query_id=q_38
[225/432] done variant=V2_synthesis_only_personalization persona=small_business_owner_contracts query_id=q_38
[226/432] done variant=V0_generic_single persona=divorced_parent_custody_schedule query_id=q_39
[227/432] done variant=V3_fanout_only_personalization persona=small_business_owner_contracts query_id=q_38
[228/432] done variant=V1_generic_fanout persona=divorced_parent_custody_schedule query_id=q_39
[229/432] done variant=V4_personalized_fanout persona=small_business_owner_contracts query_id=q_38
[230/432] done variant=V5_mixed_fanout persona=small_business_owner_contracts query_id=q_38
[231/432] done variant=V0_generic_single persona=divorced_parent_custody_schedule query_id=q_40
[232/432] done variant=V2_synthesis_only_personalization persona=divorced_parent_custody_schedule query_id=q_39
[233/432] done variant=V3_fanout_only_personalization persona=divorced_parent_custody_schedule query_id=q_39
[234/432] done variant=V5_mixed_fanout persona=divorced_parent_custody_schedule query_id=q_39
[235/432] done variant=V4_personalized_fanout persona=divorced_parent_custody_schedule query_id=q_39
[236/432] done variant=V1_generic_fanout persona=divorced_parent_custody_schedule query_id=q_40
[237/432] done variant=V2_synthesis_only_personalization persona=divorced_parent_custody_schedule query_id=q_40
[238/432] done variant=V3_fanout_only_personalization persona=divorced_parent_custody_schedule query_id=q_40
[239/432] done variant=V0_generic_single persona=employee_noncompete_layoff query_id=q_41
[240/432] done variant=V4_personalized_fanout persona=divorced_parent_custody_schedule query_id=q_40
[241/432] done variant=V5_mixed_fanout persona=divorced_parent_custody_schedule query_id=q_40
[242/432] done variant=V0_generic_single persona=employee_noncompete_layoff query_id=q_42
[243/432] done variant=V1_generic_fanout persona=employee_noncompete_layoff query_id=q_41
[244/432] done variant=V2_synthesis_only_personalization persona=employee_noncompete_layoff query_id=q_41
[245/432] done variant=V3_fanout_only_personalization persona=employee_noncompete_layoff query_id=q_41
[246/432] done variant=V1_generic_fanout persona=employee_noncompete_layoff query_id=q_42
[247/432] done variant=V4_personalized_fanout persona=employee_noncompete_layoff query_id=q_41
[248/432] done variant=V5_mixed_fanout persona=employee_noncompete_layoff query_id=q_41
[249/432] done variant=V2_synthesis_only_personalization persona=employee_noncompete_layoff query_id=q_42
[250/432] done variant=V3_fanout_only_personalization persona=employee_noncompete_layoff query_id=q_42
[251/432] done variant=V0_generic_single persona=employee_noncompete_layoff query_id=q_43
[252/432] done variant=V4_personalized_fanout persona=employee_noncompete_layoff query_id=q_42
[253/432] done variant=V0_generic_single persona=employee_noncompete_layoff query_id=q_44
[254/432] done variant=V1_generic_fanout persona=employee_noncompete_layoff query_id=q_43
[255/432] done variant=V5_mixed_fanout persona=employee_noncompete_layoff query_id=q_42
[256/432] done variant=V2_synthesis_only_personalization persona=employee_noncompete_layoff query_id=q_43
[257/432] done variant=V3_fanout_only_personalization persona=employee_noncompete_layoff query_id=q_43
[258/432] done variant=V5_mixed_fanout persona=employee_noncompete_layoff query_id=q_43
[259/432] done variant=V1_generic_fanout persona=employee_noncompete_layoff query_id=q_44
[260/432] done variant=V4_personalized_fanout persona=employee_noncompete_layoff query_id=q_43
[261/432] done variant=V2_synthesis_only_personalization persona=employee_noncompete_layoff query_id=q_44
[262/432] done variant=V0_generic_single persona=privacy_conscious_online_creator query_id=q_45
[263/432] done variant=V3_fanout_only_personalization persona=employee_noncompete_layoff query_id=q_44
[264/432] done variant=V4_personalized_fanout persona=employee_noncompete_layoff query_id=q_44
[265/432] done variant=V5_mixed_fanout persona=employee_noncompete_layoff query_id=q_44
[266/432] done variant=V1_generic_fanout persona=privacy_conscious_online_creator query_id=q_45
[267/432] done variant=V0_generic_single persona=privacy_conscious_online_creator query_id=q_46
[268/432] done variant=V3_fanout_only_personalization persona=privacy_conscious_online_creator query_id=q_45
[269/432] done variant=V2_synthesis_only_personalization persona=privacy_conscious_online_creator query_id=q_45
[270/432] done variant=V4_personalized_fanout persona=privacy_conscious_online_creator query_id=q_45
[271/432] done variant=V1_generic_fanout persona=privacy_conscious_online_creator query_id=q_46
[272/432] done variant=V5_mixed_fanout persona=privacy_conscious_online_creator query_id=q_45
[273/432] done variant=V0_generic_single persona=privacy_conscious_online_creator query_id=q_47
[274/432] done variant=V2_synthesis_only_personalization persona=privacy_conscious_online_creator query_id=q_46
[275/432] done variant=V3_fanout_only_personalization persona=privacy_conscious_online_creator query_id=q_46
[276/432] done variant=V4_personalized_fanout persona=privacy_conscious_online_creator query_id=q_46
[277/432] done variant=V5_mixed_fanout persona=privacy_conscious_online_creator query_id=q_46
[278/432] done variant=V1_generic_fanout persona=privacy_conscious_online_creator query_id=q_47
[279/432] done variant=V0_generic_single persona=privacy_conscious_online_creator query_id=q_48
[280/432] done variant=V2_synthesis_only_personalization persona=privacy_conscious_online_creator query_id=q_47
[281/432] done variant=V4_personalized_fanout persona=privacy_conscious_online_creator query_id=q_47
[282/432] done variant=V3_fanout_only_personalization persona=privacy_conscious_online_creator query_id=q_47
[283/432] done variant=V1_generic_fanout persona=privacy_conscious_online_creator query_id=q_48
[284/432] done variant=V5_mixed_fanout persona=privacy_conscious_online_creator query_id=q_47
[285/432] done variant=V0_generic_single persona=paycheck_to_paycheck_credit_rebuild query_id=q_49
[286/432] done variant=V3_fanout_only_personalization persona=privacy_conscious_online_creator query_id=q_48
[287/432] done variant=V5_mixed_fanout persona=privacy_conscious_online_creator query_id=q_48
[288/432] done variant=V4_personalized_fanout persona=privacy_conscious_online_creator query_id=q_48
[289/432] done variant=V2_synthesis_only_personalization persona=privacy_conscious_online_creator query_id=q_48
[290/432] done variant=V1_generic_fanout persona=paycheck_to_paycheck_credit_rebuild query_id=q_49
[291/432] done variant=V0_generic_single persona=paycheck_to_paycheck_credit_rebuild query_id=q_50
[292/432] done variant=V2_synthesis_only_personalization persona=paycheck_to_paycheck_credit_rebuild query_id=q_49
[293/432] done variant=V3_fanout_only_personalization persona=paycheck_to_paycheck_credit_rebuild query_id=q_49
[294/432] done variant=V4_personalized_fanout persona=paycheck_to_paycheck_credit_rebuild query_id=q_49
[295/432] done variant=V1_generic_fanout persona=paycheck_to_paycheck_credit_rebuild query_id=q_50
[296/432] done variant=V5_mixed_fanout persona=paycheck_to_paycheck_credit_rebuild query_id=q_49
[297/432] done variant=V3_fanout_only_personalization persona=paycheck_to_paycheck_credit_rebuild query_id=q_50
[298/432] done variant=V0_generic_single persona=paycheck_to_paycheck_credit_rebuild query_id=q_51
[299/432] done variant=V2_synthesis_only_personalization persona=paycheck_to_paycheck_credit_rebuild query_id=q_50
[300/432] done variant=V4_personalized_fanout persona=paycheck_to_paycheck_credit_rebuild query_id=q_50
[301/432] done variant=V5_mixed_fanout persona=paycheck_to_paycheck_credit_rebuild query_id=q_50
[302/432] done variant=V0_generic_single persona=paycheck_to_paycheck_credit_rebuild query_id=q_52
[303/432] done variant=V2_synthesis_only_personalization persona=paycheck_to_paycheck_credit_rebuild query_id=q_51
[304/432] done variant=V1_generic_fanout persona=paycheck_to_paycheck_credit_rebuild query_id=q_51
[305/432] done variant=V3_fanout_only_personalization persona=paycheck_to_paycheck_credit_rebuild query_id=q_51
[306/432] done variant=V4_personalized_fanout persona=paycheck_to_paycheck_credit_rebuild query_id=q_51
[307/432] done variant=V5_mixed_fanout persona=paycheck_to_paycheck_credit_rebuild query_id=q_51
[308/432] done variant=V1_generic_fanout persona=paycheck_to_paycheck_credit_rebuild query_id=q_52
[309/432] done variant=V2_synthesis_only_personalization persona=paycheck_to_paycheck_credit_rebuild query_id=q_52
[310/432] done variant=V0_generic_single persona=high_income_low_time_tech_worker query_id=q_53
[311/432] done variant=V3_fanout_only_personalization persona=paycheck_to_paycheck_credit_rebuild query_id=q_52
[312/432] done variant=V5_mixed_fanout persona=paycheck_to_paycheck_credit_rebuild query_id=q_52
[313/432] done variant=V0_generic_single persona=high_income_low_time_tech_worker query_id=q_54
[314/432] done variant=V1_generic_fanout persona=high_income_low_time_tech_worker query_id=q_53
[315/432] done variant=V3_fanout_only_personalization persona=high_income_low_time_tech_worker query_id=q_53
[316/432] done variant=V5_mixed_fanout persona=high_income_low_time_tech_worker query_id=q_53
[317/432] done variant=V4_personalized_fanout persona=paycheck_to_paycheck_credit_rebuild query_id=q_52
[318/432] done variant=V4_personalized_fanout persona=high_income_low_time_tech_worker query_id=q_53
[319/432] done variant=V2_synthesis_only_personalization persona=high_income_low_time_tech_worker query_id=q_53
[320/432] done variant=V1_generic_fanout persona=high_income_low_time_tech_worker query_id=q_54
[321/432] done variant=V3_fanout_only_personalization persona=high_income_low_time_tech_worker query_id=q_54
[322/432] done variant=V2_synthesis_only_personalization persona=high_income_low_time_tech_worker query_id=q_54
[323/432] done variant=V0_generic_single persona=high_income_low_time_tech_worker query_id=q_55
[324/432] done variant=V4_personalized_fanout persona=high_income_low_time_tech_worker query_id=q_54
[325/432] done variant=V5_mixed_fanout persona=high_income_low_time_tech_worker query_id=q_54
[326/432] done variant=V0_generic_single persona=first_gen_college_grad_student_loans query_id=q_56
[327/432] done variant=V1_generic_fanout persona=high_income_low_time_tech_worker query_id=q_55
[328/432] done variant=V5_mixed_fanout persona=high_income_low_time_tech_worker query_id=q_55
[329/432] done variant=V1_generic_fanout persona=first_gen_college_grad_student_loans query_id=q_56
[330/432] done variant=V2_synthesis_only_personalization persona=high_income_low_time_tech_worker query_id=q_55
[331/432] done variant=V3_fanout_only_personalization persona=high_income_low_time_tech_worker query_id=q_55
[332/432] done variant=V4_personalized_fanout persona=high_income_low_time_tech_worker query_id=q_55
[333/432] done variant=V0_generic_single persona=high_income_low_time_tech_worker query_id=q_57
[334/432] done variant=V2_synthesis_only_personalization persona=first_gen_college_grad_student_loans query_id=q_56
