analysis_group,group_type,method,sample_count,requested_k,realized_mean_k,mean_tavily_calls,mean_unique_urls,mean_unique_domains,duplicate_url_rate,mean_synthesis_context_size,mean_planner_calls,mean_synthesis_calls,mean_assessor_calls,mean_total_llm_calls,mean_search_latency,mean_total_latency,fanout_faithfulness_to_query_mean,fanout_faithfulness_to_user_query_mean,fanout_overpersonalization_risk_mean,fanout_persona_field_use_mean,fanout_query_diversity_mean,fanout_query_specificity_mean,fanout_search_realism_mean,final_actionability_without_overclaiming_mean,final_citation_support_mean,final_contradiction_with_evidence_mean,final_domain_safety_mean,final_evidence_usage_quality_mean,final_groundedness_mean,final_intent_satisfaction_mean,final_missing_constraint_awareness_mean,final_non_genericness_mean,final_overpersonalization_mean,final_personalization_target_use_mean,final_safety_mean,final_specificity_mean,final_uncertainty_calibration_mean,final_unsupported_claim_risk_mean,retrieval_constraint_coverage_mean,retrieval_disconfirming_coverage_mean,retrieval_distractor_robustness_mean,retrieval_evidence_relevance_mean,retrieval_result_persona_fit_mean,retrieval_source_quality_mean,retrieval_unsafe_or_overpersonalized_retrieval_risk_mean
form_policy_deadline_lookup,task_category,fixed_k4,6,4,4.00,4.00,18.00,15.67,0.1000,22364.2,0.67,1.00,0.00,1.67,5.04,25.44,0.0000,5.0000,1.0000,4.1667,4.3333,4.5000,5.0000,3.8333,5.0000,1.0000,2.8333,5.0000,5.0000,3.5000,3.8333,4.6667,1.0000,3.5000,2.8333,4.1667,4.1667,1.0000,4.6667,4.8333,5.0000,4.8333,4.6667,5.0000,5.0000
form_policy_deadline_lookup,task_category,fixed_k8,6,8,8.00,8.00,33.67,28.33,0.1583,44755.3,0.67,1.00,0.00,1.67,10.20,35.87,0.0000,4.8333,1.0000,4.5000,4.8333,4.8333,5.0000,3.8333,5.0000,1.0000,3.0000,5.0000,5.0000,3.5000,3.3333,4.5000,1.0000,3.5000,3.1667,4.3333,4.0000,1.0000,4.6667,4.8333,5.0000,4.8333,4.6667,5.0000,5.0000
jurisdiction_resource_lookup,task_category,fixed_k1,6,1,1.00,1.00,5.00,5.00,0.0000,6791.7,1.00,1.00,0.00,2.00,1.87,24.28,0.0000,4.5000,1.0000,1.5000,1.0000,2.6667,4.1667,3.3333,5.0000,1.0000,2.0000,4.8000,4.8000,2.3333,3.1667,3.6667,1.1667,2.1667,2.5000,3.6667,3.1667,1.3333,2.8333,5.0000,5.0000,4.3333,3.1667,4.0000,5.0000
jurisdiction_resource_lookup,task_category,fixed_k2,6,2,2.00,2.00,9.83,9.67,0.0167,12986.8,1.00,1.00,0.00,2.00,3.36,27.75,0.0000,5.0000,1.0000,3.6667,3.1667,4.3333,4.8333,3.8000,5.0000,1.0000,2.8000,4.8333,4.8333,3.0000,3.8000,4.2000,1.0000,3.0000,2.8000,4.0000,4.0000,1.1667,4.3333,5.0000,5.0000,5.0000,4.8333,4.8333,5.0000
jurisdiction_resource_lookup,task_category,fixed_k4,6,4,4.00,4.00,18.33,17.67,0.0833,24113.0,1.00,1.00,0.00,2.00,6.62,31.64,0.0000,5.0000,1.0000,4.0000,5.0000,4.8333,4.8333,3.8000,5.0000,1.0000,2.8000,5.0000,4.8333,2.8000,3.6000,4.4000,1.8000,2.8000,3.2000,4.0000,3.8000,1.1667,4.3333,4.8333,5.0000,5.0000,4.8333,5.0000,5.0000
jurisdiction_resource_lookup,task_category,fixed_k8,6,8,8.00,8.00,36.67,35.00,0.0833,47877.0,0.83,1.00,0.00,1.83,10.67,41.73,0.0000,5.0000,1.0000,4.3333,5.0000,4.8333,5.0000,3.8333,5.0000,1.0000,2.5000,5.0000,5.0000,3.0000,3.3333,4.3333,1.0000,3.3333,2.5000,4.3333,3.3333,1.0000,4.0000,4.6667,5.0000,5.0000,4.8333,5.0000,5.0000
legal_decision_strategy,task_category,fixed_k1,6,1,1.00,1.00,5.00,5.00,0.0000,6165.8,0.83,1.00,0.00,1.83,1.59,24.09,0.0000,4.8333,1.0000,1.0000,1.0000,2.3333,4.3333,3.1667,4.5000,1.0000,2.8333,4.5000,4.1667,2.4167,3.1667,2.6667,1.0000,2.0000,3.5000,3.0000,3.1667,1.8333,2.0000,5.0000,5.0000,3.6667,2.1667,3.1667,5.0000
legal_decision_strategy,task_category,fixed_k2,6,2,2.00,2.00,9.67,9.33,0.0167,11631.3,0.83,1.00,0.00,1.83,2.62,22.62,0.0000,5.0000,1.0000,2.6667,2.5000,3.5000,4.3333,3.3333,5.0000,1.0000,2.6667,5.0000,5.0000,2.6667,3.3333,3.0000,1.1667,2.0000,3.0000,3.1667,3.1667,1.1667,3.0000,5.0000,5.0000,4.5000,3.7500,3.3333,5.0000
legal_decision_strategy,task_category,fixed_k4,6,4,4.00,4.00,19.33,18.17,0.0250,23995.2,0.83,1.00,0.00,1.83,5.31,26.91,0.0000,5.0000,1.0000,3.8333,4.6667,4.8333,5.0000,3.8333,5.0000,1.0000,3.5000,5.0000,5.0000,2.7500,3.1667,3.6667,1.0000,2.4167,3.5000,3.6667,3.6667,1.0000,4.0000,4.5000,5.0000,4.6667,4.5000,4.5000,5.0000
legal_decision_strategy,task_category,fixed_k8,6,8,8.00,8.00,38.00,34.50,0.0459,47948.0,0.83,1.00,0.00,1.83,10.79,40.14,0.0000,5.0000,1.0000,5.0000,5.0000,5.0000,5.0000,4.2000,5.0000,1.0000,3.8000,5.0000,5.0000,3.4000,3.8000,4.2000,1.0000,3.8000,3.8000,4.4000,4.0000,1.0000,4.0000,4.5000,5.0000,4.6667,4.3333,4.5000,5.0000
legal_info,macro_domain,fixed_k1,24,1,1.00,1.00,5.00,4.96,0.0000,6358.6,0.88,1.00,0.00,1.88,1.57,22.47,0.0000,4.6250,1.0000,1.2917,1.0000,2.4167,4.4167,3.2917,4.8750,1.0000,2.5000,4.8250,4.7417,2.5208,3.2083,3.2917,1.1250,2.1667,2.8333,3.2917,3.3750,1.2917,2.8750,5.0000,5.0000,4.1667,3.1250,3.8333,5.0000
legal_info,macro_domain,fixed_k2,24,2,2.00,2.00,9.71,9.38,0.0250,12121.3,0.88,1.00,0.00,1.88,2.89,24.39,0.0000,5.0000,1.0000,3.2917,3.0417,4.0833,4.7083,3.7391,5.0000,1.0000,2.8261,4.9583,4.9583,3.0435,3.3913,3.8261,1.0435,2.7826,3.0000,3.7391,3.6957,1.0833,3.9583,5.0000,5.0000,4.7083,4.4375,4.2500,5.0000
legal_info,macro_domain,fixed_k4,24,4,4.00,4.00,18.67,17.42,0.0646,23542.9,0.88,1.00,0.00,1.88,5.92,28.97,0.0000,5.0000,1.0000,4.0000,4.6667,4.7917,4.9167,3.6957,5.0000,1.0000,3.0870,5.0000,4.9167,3.0652,3.4783,4.1739,1.2174,2.9783,3.2174,3.9130,3.8261,1.0833,4.2917,4.6250,5.0000,4.7917,4.6250,4.7500,5.0000
legal_info,macro_domain,fixed_k8,24,8,8.00,8.00,36.38,32.83,0.0896,46859.5,0.79,1.00,0.00,1.79,10.64,39.76,0.0000,4.9583,1.0000,4.7083,4.9583,4.9167,5.0000,3.8696,5.0000,1.0000,3.0435,5.0000,5.0000,3.3913,3.4348,4.4348,1.0870,3.6087,3.1304,4.3913,3.7391,1.0000,4.2500,4.6250,5.0000,4.7917,4.6667,4.7917,5.0000
legal_issue_explanation,task_category,fixed_k1,6,1,1.00,1.00,5.00,5.00,0.0000,6296.0,1.00,1.00,0.00,2.00,1.86,24.27,0.0000,5.0000,1.0000,1.3333,1.0000,2.5000,4.8333,3.1667,5.0000,1.0000,2.6667,5.0000,5.0000,2.5000,3.1667,2.8333,1.3333,2.1667,2.8333,2.8333,3.5000,1.0000,2.8333,5.0000,5.0000,4.0000,3.1667,3.5000,5.0000
legal_issue_explanation,task_category,fixed_k2,6,2,2.00,2.00,9.83,9.83,0.0167,11669.2,1.00,1.00,0.00,2.00,3.40,26.50,0.0000,5.0000,1.0000,3.3333,3.0000,4.3333,4.8333,3.6667,5.0000,1.0000,2.8333,5.0000,5.0000,3.0000,2.6667,3.5000,1.0000,2.5000,3.0000,3.5000,3.3333,1.0000,3.8333,5.0000,5.0000,4.5000,4.5000,4.0000,5.0000
legal_issue_explanation,task_category,fixed_k4,6,4,4.00,4.00,19.00,18.17,0.0500,23699.2,1.00,1.00,0.00,2.00,6.70,31.90,0.0000,5.0000,1.0000,4.0000,4.6667,5.0000,4.8333,3.3333,5.0000,1.0000,3.1667,5.0000,4.8333,3.1667,3.3333,4.0000,1.1667,3.1667,3.3333,3.8333,3.6667,1.1667,4.1667,4.3333,5.0000,4.6667,4.5000,4.5000,5.0000
legal_issue_explanation,task_category,fixed_k8,6,8,8.00,8.00,37.17,33.50,0.0708,46857.5,0.83,1.00,0.00,1.83,10.89,41.29,0.0000,5.0000,1.0000,5.0000,5.0000,5.0000,5.0000,3.6667,5.0000,1.0000,3.0000,5.0000,5.0000,3.6667,3.3333,4.6667,1.3333,3.8333,3.1667,4.5000,3.6667,1.0000,4.3333,4.5000,5.0000,4.6667,4.8333,4.6667,5.0000
overall,overall,fixed_k1,72,1,1.00,1.00,5.00,4.93,0.0000,6535.0,0.96,1.00,0.00,1.96,1.75,25.36,0.0000,4.6667,1.0000,1.2222,1.0000,2.1667,4.5278,3.3472,4.8750,1.0417,3.1944,4.7000,4.5889,2.3681,2.9167,3.0417,1.4722,2.2917,3.4306,3.2639,3.4306,1.4306,2.4097,5.0000,5.0000,4.0139,2.4306,3.9167,5.0000
overall,overall,fixed_k2,72,2,2.00,2.00,9.60,9.21,0.0389,12198.1,0.96,1.00,0.00,1.96,3.44,27.74,0.0000,4.8750,1.2361,3.0139,2.8333,3.7500,4.5694,3.6761,4.9861,1.0000,3.2817,4.8708,4.8111,2.8239,3.2183,3.5211,1.3662,2.7324,3.4930,3.7042,3.7042,1.2153,3.7778,5.0000,5.0000,4.5694,4.1042,4.4583,4.9444
overall,overall,fixed_k4,72,4,4.00,4.00,18.38,16.65,0.0806,23348.8,0.96,1.00,0.00,1.96,7.11,33.61,5.0000,4.9718,1.0278,4.1528,4.7917,4.6944,4.8750,3.9714,4.9861,1.0000,3.5000,4.9306,4.8472,3.2357,3.7143,3.9429,1.2286,3.3071,3.6857,4.0286,4.0714,1.1528,4.4583,4.7083,5.0000,4.7361,4.5417,4.8056,4.9861
overall,overall,fixed_k8,72,8,8.00,8.00,36.29,30.92,0.0924,46223.8,0.93,1.00,0.00,1.93,14.09,46.59,0.0000,4.9306,1.0417,4.6389,4.9722,4.8611,4.9167,4.2676,5.0000,1.0000,3.5634,4.9792,4.9306,3.6197,3.8873,4.4085,1.2676,3.8028,3.7465,4.4789,4.1972,1.0694,4.4444,4.7153,5.0000,4.7639,4.6458,4.8056,4.9792
personal_decision_strategy,task_category,fixed_k1,6,1,1.00,1.00,5.00,4.83,0.0000,6900.2,1.00,1.00,0.00,2.00,1.83,26.32,0.0000,5.0000,1.0000,1.1667,1.0000,2.3333,4.6667,3.0000,5.0000,1.1667,3.3333,4.6667,4.6667,1.6667,2.1667,2.1667,2.5000,1.8333,3.5000,2.8333,3.1667,1.3333,2.0000,5.0000,5.0000,4.3333,2.0000,3.5000,5.0000
personal_decision_strategy,task_category,fixed_k2,6,2,2.00,2.00,9.67,9.00,0.0333,12923.7,1.00,1.00,0.00,2.00,4.06,29.50,0.0000,5.0000,1.1667,2.8333,2.8333,3.8333,4.8333,3.3333,5.0000,1.0000,3.8333,4.8000,4.4667,2.1667,2.3333,2.6667,1.8333,2.3333,4.6667,3.3333,3.5000,1.5833,3.1667,5.0000,5.0000,4.1667,3.3333,4.0000,5.0000
personal_decision_strategy,task_category,fixed_k4,6,4,4.00,4.00,18.33,16.50,0.0833,23632.7,1.00,1.00,0.00,2.00,8.57,37.14,0.0000,5.0000,1.0000,4.5000,4.8333,5.0000,5.0000,4.1667,4.8333,1.0000,4.0000,4.6667,4.6667,2.8333,3.6667,3.5000,1.8333,3.5000,4.5000,3.8333,4.1667,1.3333,4.3333,4.3333,5.0000,4.6667,4.1667,4.6667,5.0000
personal_decision_strategy,task_category,fixed_k8,6,8,8.00,8.00,37.67,29.33,0.0583,47493.3,1.00,1.00,0.00,2.00,18.12,50.26,0.0000,5.0000,1.0000,5.0000,5.0000,5.0000,5.0000,4.8333,5.0000,1.0000,4.0000,5.0000,5.0000,3.6667,3.8333,4.3333,1.8333,4.1667,4.8333,4.6667,4.5000,1.0000,4.3333,4.3333,5.0000,4.6667,4.3333,4.6667,5.0000
personal_finance,macro_domain,fixed_k1,24,1,1.00,1.00,5.00,4.88,0.0000,6384.8,1.00,1.00,0.00,2.00,1.62,26.68,0.0000,4.5833,1.0000,1.1667,1.0000,1.9583,4.4167,3.6667,4.8750,1.0833,3.2083,4.6583,4.5750,2.7917,3.2500,3.2917,1.2500,3.0000,3.4167,3.5833,3.6667,1.4375,2.4792,5.0000,5.0000,3.9583,2.2500,4.3750,5.0000
personal_finance,macro_domain,fixed_k2,24,2,2.00,2.00,9.46,8.92,0.0542,12003.0,1.00,1.00,0.00,2.00,3.36,28.87,0.0000,4.7917,1.1667,2.9583,2.7500,3.5417,4.5417,3.6667,4.9583,1.0000,2.9167,4.8667,4.8667,2.9583,3.4167,3.5417,1.4167,3.1667,3.1250,3.8750,3.7083,1.1667,4.0833,5.0000,5.0000,4.7500,4.0833,4.7917,5.0000
personal_finance,macro_domain,fixed_k4,24,4,4.00,4.00,17.88,15.96,0.1063,23074.8,1.00,1.00,0.00,2.00,6.92,34.66,5.0000,4.9565,1.0000,4.1250,4.7917,4.5833,4.9167,3.8750,5.0000,1.0000,3.0833,5.0000,4.8750,3.3333,3.7083,3.9167,1.1667,3.5833,3.2917,4.1250,4.0000,1.1250,4.5833,4.7500,5.0000,4.7917,4.4167,4.8750,5.0000
personal_finance,macro_domain,fixed_k8,24,8,8.00,8.00,34.88,29.58,0.1281,44560.9,1.00,1.00,0.00,2.00,13.80,48.80,0.0000,4.9167,1.0417,4.5417,4.9583,4.7500,4.8750,4.2083,5.0000,1.0000,3.3750,5.0000,4.9167,3.7917,4.0000,4.4167,1.2917,4.2083,3.5000,4.5417,4.2500,1.0833,4.6250,4.7500,5.0000,4.8333,4.6250,4.8333,5.0000
product_or_program_comparison,task_category,fixed_k1,6,1,1.00,1.00,5.00,5.00,0.0000,6796.3,1.00,1.00,0.00,2.00,1.38,26.87,0.0000,4.3333,1.0000,1.0000,1.0000,1.8333,4.5000,3.3333,5.0000,1.3333,2.5000,4.5000,4.5000,2.5000,2.8333,3.0000,1.5000,2.1667,2.8333,3.1667,3.3333,1.5000,2.3333,5.0000,5.0000,4.1667,2.1667,4.8333,5.0000
product_or_program_comparison,task_category,fixed_k2,6,2,2.00,2.00,9.33,8.67,0.0667,11989.2,1.00,1.00,0.00,2.00,2.95,28.81,0.0000,4.8333,1.1667,2.6667,2.5000,3.5000,4.5000,3.5000,5.0000,1.0000,2.5000,4.8333,4.8333,2.6667,3.0000,3.5000,1.6667,2.5000,2.5000,3.8333,3.3333,1.1667,3.8333,5.0000,5.0000,4.6667,4.0000,5.0000,5.0000
product_or_program_comparison,task_category,fixed_k4,6,4,4.00,4.00,18.17,16.83,0.0917,22833.2,1.00,1.00,0.00,2.00,6.59,33.80,0.0000,4.8333,1.0000,3.6667,4.8333,4.5000,5.0000,4.0000,5.0000,1.0000,3.3333,5.0000,4.8333,3.3333,3.5000,3.8333,1.0000,3.3333,3.3333,4.0000,4.0000,1.1667,4.5000,4.6667,5.0000,4.6667,4.3333,4.8333,5.0000
product_or_program_comparison,task_category,fixed_k8,6,8,8.00,8.00,34.00,30.17,0.1500,43523.8,1.00,1.00,0.00,2.00,13.18,46.09,0.0000,5.0000,1.0000,4.6667,5.0000,4.8333,4.8333,4.5000,5.0000,1.0000,4.0000,5.0000,4.8333,3.8333,4.3333,4.3333,1.3333,4.1667,4.0000,4.5000,4.6667,1.1667,4.8333,4.6667,5.0000,4.6667,4.6667,4.8333,5.0000
retrieval_sensitive,task_type,fixed_k1,36,1,1.00,1.00,5.00,4.89,0.0000,6515.3,0.94,1.00,0.00,1.94,1.77,24.97,0.0000,4.4167,1.0000,1.1944,1.0000,2.1111,4.5000,3.3056,4.9167,1.0556,2.9444,4.7889,4.7056,2.3611,2.9167,3.3056,1.6389,2.1944,3.1944,3.4167,3.3333,1.3333,2.4583,5.0000,5.0000,4.0278,2.4167,4.1944,5.0000
retrieval_sensitive,task_type,fixed_k2,36,2,2.00,2.00,9.58,9.08,0.0417,12193.3,0.94,1.00,0.00,1.94,3.49,27.60,0.0000,4.8056,1.3333,3.0000,2.8611,3.6944,4.5278,3.6571,5.0000,1.0000,3.1143,4.8722,4.8361,2.7857,3.2143,3.8286,1.5714,2.8286,3.2000,3.9429,3.7429,1.1944,3.9722,5.0000,5.0000,4.6111,4.2500,4.6944,4.8889
retrieval_sensitive,task_type,fixed_k4,36,4,4.00,4.00,18.36,16.25,0.0819,23195.5,0.94,1.00,0.00,1.94,7.31,33.88,0.0000,4.9444,1.0278,4.0000,4.8056,4.5000,4.8056,4.0000,5.0000,1.0000,3.3824,4.9444,4.8611,3.2941,3.7941,4.1176,1.2647,3.2941,3.5294,4.1176,4.1176,1.1389,4.5556,4.7222,5.0000,4.6944,4.6389,4.8611,4.9722
retrieval_sensitive,task_type,fixed_k8,36,8,8.00,8.00,35.75,30.39,0.1063,45345.8,0.92,1.00,0.00,1.92,14.30,45.26,0.0000,4.8611,1.0278,4.3611,4.9722,4.7778,4.8889,4.2778,5.0000,1.0000,3.5000,4.9583,4.8611,3.5000,4.0000,4.4444,1.2500,3.6111,3.6111,4.4722,4.1944,1.1389,4.5556,4.7083,5.0000,4.7222,4.7361,4.8611,4.9583
shopping_product_recommendation,task_category,fixed_k1,6,1,1.00,1.00,5.00,5.00,0.0000,6343.8,1.00,1.00,0.00,2.00,2.29,25.46,0.0000,4.3333,1.0000,1.1667,1.0000,2.0000,5.0000,3.1667,4.5000,1.0000,4.5000,4.5000,4.0000,1.8333,1.8333,2.8333,2.3333,1.5000,4.6667,3.0000,2.8333,2.0000,1.3333,5.0000,5.0000,3.3333,1.3333,3.3333,5.0000
shopping_product_recommendation,task_category,fixed_k2,6,2,2.00,2.00,9.50,9.33,0.0500,11626.2,1.00,1.00,0.00,2.00,4.29,27.93,0.0000,4.8333,1.6667,2.6667,2.5000,3.6667,4.8333,4.0000,5.0000,1.0000,4.5000,4.8333,4.6667,2.7500,2.9167,3.8333,1.1667,2.5000,4.5000,4.0000,4.0000,1.3333,4.0000,5.0000,5.0000,4.5000,4.6667,4.5000,5.0000
