analysis_group,group_type,method,sample_count,requested_k,realized_mean_k,mean_tavily_calls,mean_unique_urls,mean_unique_domains,duplicate_url_rate,mean_synthesis_context_size,mean_planner_calls,mean_synthesis_calls,mean_assessor_calls,mean_total_llm_calls,mean_search_latency,mean_total_latency,fanout_faithfulness_to_user_query_mean,fanout_overpersonalization_risk_mean,fanout_persona_field_use_mean,fanout_query_diversity_mean,fanout_query_specificity_mean,fanout_search_realism_mean,final_actionability_without_overclaiming_mean,final_citation_support_mean,final_contradiction_with_evidence_mean,final_domain_safety_mean,final_evidence_usage_quality_mean,final_groundedness_mean,final_intent_satisfaction_mean,final_missing_constraint_awareness_mean,final_non_genericness_mean,final_overpersonalization_mean,final_personalization_target_use_mean,final_safety_mean,final_specificity_mean,final_uncertainty_calibration_mean,final_unsupported_claim_risk_mean,retrieval_constraint_coverage_mean,retrieval_disconfirming_coverage_mean,retrieval_distractor_robustness_mean,retrieval_evidence_relevance_mean,retrieval_result_persona_fit_mean,retrieval_source_quality_mean,retrieval_unsafe_or_overpersonalized_retrieval_risk_mean
jurisdiction_resource_lookup,task_category,fixed_k2,6,2,2.00,2.00,9.50,9.50,0.0500,12483.3,1.00,1.00,0.00,2.00,3.44,68.74,5.0000,1.0000,3.1667,3.1667,4.0000,5.0000,3.1667,5.0000,1.0000,2.6667,5.0000,5.0000,2.6667,3.1667,3.5000,1.0000,2.1667,2.6667,3.5000,3.3333,1.0000,4.1667,5.0000,5.0000,4.6667,4.5000,4.1667,5.0000
jurisdiction_resource_lookup,task_category,fixed_k4,6,4,4.00,4.00,18.67,18.00,0.0667,24607.3,1.00,1.00,0.00,2.00,6.34,73.19,5.0000,1.0000,3.8333,5.0000,4.6667,5.0000,3.5000,5.0000,1.0000,2.6667,5.0000,5.0000,2.8333,3.1667,3.8333,1.1667,2.3333,2.5000,3.5000,3.6667,1.0000,4.6667,4.6667,5.0000,4.8333,4.8333,5.0000,5.0000
jurisdiction_resource_lookup,task_category,fixed_k8,6,8,8.00,8.00,37.67,34.33,0.0583,48499.3,1.00,1.00,0.00,2.00,12.24,83.65,5.0000,1.0000,4.3333,5.0000,5.0000,5.0000,3.8333,5.0000,1.0000,3.1667,5.0000,5.0000,3.4167,3.6667,4.5000,1.1667,3.3333,3.1667,4.5000,4.0000,1.0000,4.6667,4.6667,5.0000,4.8333,4.6667,5.0000,5.0000
legal_decision_strategy,task_category,fixed_k1,6,1,1.00,1.00,5.00,5.00,0.0000,6668.8,1.00,1.00,0.00,2.00,1.20,56.12,4.6667,1.0000,1.0000,1.0000,2.1667,4.5000,2.6667,5.0000,1.0000,2.5000,4.5000,4.5000,2.0000,2.5000,2.5000,1.1667,1.8333,3.0000,2.8333,2.6667,1.3333,1.6667,5.0000,5.0000,3.5000,1.8333,3.5000,5.0000
legal_decision_strategy,task_category,fixed_k2,6,2,2.00,2.00,10.00,10.00,0.0000,12837.8,1.00,1.00,0.00,2.00,2.67,58.04,5.0000,1.3333,2.3333,2.5000,3.0000,4.6667,3.5000,5.0000,1.0000,2.6667,5.0000,5.0000,2.5000,2.3333,3.3333,1.3333,2.5000,2.6667,3.3333,3.0000,1.0000,3.3333,5.0000,5.0000,4.5000,3.6667,4.3333,5.0000
legal_decision_strategy,task_category,fixed_k4,6,4,4.00,4.00,19.17,18.50,0.0417,23839.8,1.00,1.00,0.00,2.00,6.15,62.06,5.0000,1.1667,3.6667,4.6667,4.3333,4.8333,4.0000,5.0000,1.0000,3.0000,5.0000,5.0000,3.3333,3.5000,4.0000,1.1667,2.8333,3.3333,3.8333,3.5000,1.0000,4.3333,4.6667,5.0000,4.8333,4.6667,4.8333,5.0000
legal_decision_strategy,task_category,fixed_k8,6,8,8.00,8.00,38.50,35.67,0.0375,48544.0,1.00,1.00,0.00,2.00,12.88,73.97,5.0000,1.0000,4.3333,5.0000,5.0000,5.0000,4.1667,5.0000,1.0000,3.6667,5.0000,4.8333,3.5000,3.5000,4.1667,1.0000,3.0000,4.0000,4.1667,4.0000,1.1667,3.8333,4.8333,5.0000,4.8333,4.5000,4.8333,5.0000
legal_info,macro_domain,fixed_k1,24,1,1.00,1.00,5.00,4.96,0.0000,6473.5,1.00,1.00,0.00,2.00,1.42,65.76,4.5000,1.0000,1.0833,1.0000,2.2500,4.6250,3.0417,4.9167,1.0000,2.5833,4.6667,4.6667,2.4583,2.9167,3.1667,1.4167,2.2083,2.8333,3.2500,3.1667,1.3333,2.5000,5.0000,5.0000,4.0000,2.7083,3.7500,5.0000
legal_info,macro_domain,fixed_k2,24,2,2.00,2.00,9.54,9.29,0.0458,12422.1,1.00,1.00,0.00,2.00,2.88,68.05,4.9583,1.1667,2.8750,2.8333,3.5417,4.6667,3.4583,4.9167,1.0000,2.7083,4.8250,4.7833,2.8750,3.0000,3.7500,1.2083,2.5833,2.7500,3.5417,3.4167,1.2292,3.7917,5.0000,5.0000,4.5833,4.1667,4.1667,5.0000
legal_info,macro_domain,fixed_k4,24,4,4.00,4.00,18.21,17.04,0.0896,23336.8,1.00,1.00,0.00,2.00,6.22,72.11,4.9167,1.0833,3.8333,4.6250,4.4583,4.8750,3.7917,5.0000,1.0000,3.0000,5.0000,5.0000,3.2083,3.5417,4.0833,1.2083,2.8750,3.0417,3.7917,3.7917,1.0000,4.3333,4.8333,5.0000,4.7917,4.5833,4.8333,5.0000
legal_info,macro_domain,fixed_k8,24,8,8.00,8.00,35.88,32.17,0.1031,45348.0,1.00,1.00,0.00,2.00,12.48,83.42,5.0000,1.0000,4.2500,4.9167,4.7917,4.9583,3.7500,5.0000,1.0000,3.2500,5.0000,4.9583,3.3958,3.5833,4.2917,1.1667,3.1250,3.3750,4.0833,4.0000,1.0417,4.2500,4.8750,5.0000,4.8125,4.6042,4.8333,5.0000
legal_issue_explanation,task_category,fixed_k1,6,1,1.00,1.00,5.00,5.00,0.0000,6448.0,1.00,1.00,0.00,2.00,1.33,64.39,5.0000,1.0000,1.0000,1.0000,2.5000,4.8333,3.0000,5.0000,1.0000,2.5000,5.0000,5.0000,2.5000,2.3333,3.1667,1.8333,2.0000,2.8333,3.5000,2.8333,1.0000,2.6667,5.0000,5.0000,4.3333,3.3333,3.6667,5.0000
legal_issue_explanation,task_category,fixed_k2,6,2,2.00,2.00,9.33,9.17,0.0667,12309.2,1.00,1.00,0.00,2.00,2.47,66.26,4.8333,1.3333,2.3333,2.1667,3.3333,4.3333,3.5000,5.0000,1.0000,2.8333,4.8333,4.8333,2.8333,2.8333,3.6667,1.5000,2.3333,3.0000,3.3333,3.5000,1.1667,3.6667,5.0000,5.0000,4.6667,4.3333,3.6667,5.0000
legal_issue_explanation,task_category,fixed_k4,6,4,4.00,4.00,18.33,17.50,0.0833,23678.5,1.00,1.00,0.00,2.00,5.82,70.02,4.8333,1.1667,4.0000,4.5000,4.5000,4.8333,3.6667,5.0000,1.0000,3.3333,5.0000,5.0000,3.0000,3.5000,4.0000,1.5000,2.6667,3.3333,3.6667,3.8333,1.0000,3.8333,5.0000,5.0000,4.6667,4.1667,4.6667,5.0000
legal_issue_explanation,task_category,fixed_k8,6,8,8.00,8.00,36.33,33.67,0.0917,45454.5,1.00,1.00,0.00,2.00,11.15,80.19,5.0000,1.0000,4.3333,5.0000,4.8333,5.0000,3.1667,5.0000,1.0000,2.8333,5.0000,5.0000,3.1667,3.0000,4.0000,1.5000,2.8333,2.8333,3.6667,3.5000,1.0000,4.0000,5.0000,5.0000,4.7500,4.7500,4.6667,5.0000
overall,overall,fixed_k1,72,1,1.00,1.00,5.00,4.96,0.0000,6413.3,0.99,1.00,0.00,1.99,1.70,65.99,4.6528,1.0000,1.1111,1.0000,2.1250,4.7083,3.2431,4.9306,1.0139,3.1944,4.6750,4.6375,2.3542,2.7778,2.9444,1.5833,2.2361,3.4167,3.2361,3.3472,1.3750,2.4444,5.0000,5.0000,4.2639,2.4306,4.0417,5.0000
overall,overall,fixed_k2,72,2,2.00,2.00,9.68,9.25,0.0307,12415.0,0.99,1.00,0.00,1.99,3.42,68.52,4.7778,1.2639,2.5833,2.5139,3.2500,4.6111,3.6806,4.9583,1.0139,3.2639,4.8444,4.8306,2.8750,3.1111,3.4583,1.3889,2.7639,3.3889,3.5972,3.6389,1.2014,3.7917,4.9444,5.0000,4.6250,4.0833,4.4583,4.9861
overall,overall,fixed_k4,72,4,4.00,4.00,18.25,16.67,0.0869,23039.2,0.99,1.00,0.00,1.99,6.81,72.79,4.8472,1.1528,3.6389,4.5833,4.3611,4.8611,3.9296,4.9722,1.0000,3.4507,4.9069,4.8236,3.2394,3.6056,3.9155,1.3944,3.0986,3.5493,3.9296,3.9577,1.1833,4.4167,4.8194,5.0000,4.7778,4.6250,4.8611,5.0000
overall,overall,fixed_k8,72,8,8.00,8.00,35.90,30.74,0.1018,44846.6,0.99,1.00,0.00,1.99,13.69,84.68,4.8611,1.1250,4.3333,4.9028,4.7500,4.8611,4.1268,5.0000,1.0000,3.5775,4.9861,4.9028,3.5634,3.7606,4.2676,1.2958,3.4789,3.7183,4.2465,4.1338,1.0972,4.4167,4.8056,5.0000,4.7569,4.6181,4.8611,4.9861
personal_decision_strategy,task_category,fixed_k1,6,1,1.00,1.00,5.00,5.00,0.0000,6930.7,1.00,1.00,0.00,2.00,2.22,60.54,5.0000,1.0000,1.1667,1.0000,2.1667,4.6667,3.0000,4.8333,1.1667,3.5000,4.4667,4.6333,1.8333,2.3333,2.0000,2.1667,1.8333,3.8333,3.0000,3.1667,1.4167,2.5000,5.0000,5.0000,4.8333,2.6667,4.1667,5.0000
personal_decision_strategy,task_category,fixed_k2,6,2,2.00,2.00,9.67,9.50,0.0333,12939.3,1.00,1.00,0.00,2.00,4.10,62.32,5.0000,1.0000,2.8333,2.5000,3.3333,4.8333,3.6667,5.0000,1.0000,3.8333,5.0000,5.0000,2.3333,2.8333,2.5000,2.0000,2.3333,3.8333,3.1667,3.6667,1.1667,4.0000,5.0000,5.0000,4.8333,4.3333,4.6667,5.0000
personal_decision_strategy,task_category,fixed_k4,6,4,4.00,4.00,18.00,16.50,0.1000,21771.8,1.00,1.00,0.00,2.00,8.24,67.10,5.0000,1.0000,3.5000,4.6667,4.3333,4.8333,3.8333,5.0000,1.0000,3.8333,4.8833,4.8833,2.8333,3.3333,3.3333,1.3333,2.8333,4.3333,3.5000,4.0000,1.2000,4.1667,5.0000,5.0000,5.0000,4.6667,4.8333,5.0000
personal_decision_strategy,task_category,fixed_k8,6,8,8.00,8.00,36.50,30.33,0.0875,45270.0,1.00,1.00,0.00,2.00,17.34,82.20,5.0000,1.0000,4.6667,5.0000,4.8333,5.0000,4.1667,5.0000,1.0000,3.8333,5.0000,5.0000,3.2500,3.3333,3.6667,2.1667,3.1667,4.1667,3.9167,3.7500,1.0000,4.1667,5.0000,5.0000,4.6667,4.3333,4.8333,4.8333
personal_finance,macro_domain,fixed_k1,24,1,1.00,1.00,5.00,4.92,0.0000,6113.7,1.00,1.00,0.00,2.00,1.66,69.35,4.6250,1.0000,1.1667,1.0000,2.0833,4.7500,3.3542,4.9167,1.0000,2.9167,4.6667,4.5750,2.5625,2.9167,3.0833,1.2917,2.6250,3.1250,3.3333,3.4167,1.4375,2.7500,5.0000,5.0000,4.3333,2.4167,4.5000,5.0000
personal_finance,macro_domain,fixed_k2,24,2,2.00,2.00,9.75,9.00,0.0250,12007.8,1.00,1.00,0.00,2.00,3.45,71.80,4.4167,1.4167,2.3750,2.3750,3.1250,4.6667,3.7083,5.0000,1.0417,2.8750,4.8333,4.8750,3.0000,3.2083,3.5417,1.2917,3.2500,3.1250,3.8333,3.7083,1.1667,4.0417,5.0000,5.0000,4.7083,4.0417,4.7083,4.9583
personal_finance,macro_domain,fixed_k4,24,4,4.00,4.00,18.04,16.17,0.0979,22588.2,1.00,1.00,0.00,2.00,6.37,75.45,4.7083,1.2500,3.5000,4.5000,4.2500,4.9167,3.8696,4.9583,1.0000,3.0435,4.9167,4.8333,3.3043,3.5217,3.9130,1.5217,3.3913,3.1739,4.0870,3.8696,1.1667,4.5417,4.9167,5.0000,4.7083,4.5417,4.8750,5.0000
personal_finance,macro_domain,fixed_k8,24,8,8.00,8.00,34.67,29.08,0.1333,43356.1,1.00,1.00,0.00,2.00,12.81,86.04,4.7500,1.1667,4.2500,4.8333,4.6250,4.8333,4.2609,5.0000,1.0000,3.3478,4.9583,4.8750,3.7826,4.0435,4.3478,1.1304,3.9565,3.4783,4.4348,4.2609,1.1250,4.5417,4.8333,5.0000,4.7083,4.6250,4.8750,5.0000
product_or_program_comparison,task_category,fixed_k1,6,1,1.00,1.00,5.00,5.00,0.0000,5691.3,1.00,1.00,0.00,2.00,1.34,77.97,4.3333,1.0000,1.1667,1.0000,2.0000,4.6667,3.0000,5.0000,1.0000,2.1667,4.5000,4.3333,2.1667,2.5000,2.6667,1.6667,1.8333,2.5000,2.6667,2.5000,1.6667,2.1667,5.0000,5.0000,3.8333,1.8333,4.3333,5.0000
product_or_program_comparison,task_category,fixed_k2,6,2,2.00,2.00,10.00,9.00,0.0000,12179.3,1.00,1.00,0.00,2.00,2.83,80.85,4.1667,1.1667,2.0000,2.3333,2.8333,4.6667,3.6667,5.0000,1.0000,2.6667,5.0000,5.0000,2.8333,2.5000,3.3333,1.5000,2.6667,3.0000,3.1667,3.3333,1.1667,3.8333,5.0000,5.0000,4.8333,4.1667,5.0000,5.0000
product_or_program_comparison,task_category,fixed_k4,6,4,4.00,4.00,18.17,16.67,0.0917,22803.2,1.00,1.00,0.00,2.00,5.83,83.16,4.6667,1.1667,3.8333,4.5000,4.3333,4.8333,3.8333,5.0000,1.0000,2.8333,4.8333,4.8333,3.1667,3.3333,3.8333,1.0000,3.1667,2.8333,3.8333,3.6667,1.1667,4.1667,5.0000,5.0000,4.8333,4.6667,5.0000,5.0000
product_or_program_comparison,task_category,fixed_k8,6,8,8.00,8.00,34.17,28.33,0.1458,41916.8,1.00,1.00,0.00,2.00,12.53,94.34,5.0000,1.0000,4.3333,4.8333,4.5000,4.8333,4.5000,5.0000,1.0000,3.3333,4.8333,4.6667,3.6667,3.6667,4.3333,1.0000,3.6667,3.5000,4.5000,4.3333,1.3333,4.6667,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000
retrieval_sensitive,task_type,fixed_k1,36,1,1.00,1.00,5.00,4.92,0.0000,6322.6,1.00,1.00,0.00,2.00,1.80,71.44,4.5000,1.0000,1.1111,1.0000,2.0278,4.7500,3.1667,4.9444,1.0000,3.0556,4.7722,4.7167,2.2778,2.9722,3.1111,1.7500,2.1111,3.2778,3.2500,3.3611,1.3194,2.3611,5.0000,5.0000,4.1111,2.2222,4.0556,5.0000
retrieval_sensitive,task_type,fixed_k2,36,2,2.00,2.00,9.64,9.08,0.0336,12412.8,1.00,1.00,0.00,2.00,3.63,74.24,4.7500,1.2222,2.5833,2.5833,3.2222,4.6111,3.5556,4.9167,1.0000,3.1111,4.8556,4.8278,2.8889,3.2500,3.6111,1.4722,2.7222,3.3056,3.6389,3.6111,1.2083,3.7500,4.8889,5.0000,4.4722,4.0278,4.5000,5.0000
retrieval_sensitive,task_type,fixed_k4,36,4,4.00,4.00,17.97,16.06,0.1002,22966.5,1.00,1.00,0.00,2.00,7.06,78.48,4.7778,1.1111,3.5833,4.5556,4.3056,4.8333,3.8056,5.0000,1.0000,3.2500,4.9167,4.8611,3.1389,3.6111,3.9722,1.5000,3.0833,3.2778,3.9722,3.9167,1.1389,4.4167,4.7222,5.0000,4.7222,4.6111,4.8889,5.0000
retrieval_sensitive,task_type,fixed_k8,36,8,8.00,8.00,35.08,29.56,0.1216,43705.9,1.00,1.00,0.00,2.00,14.04,90.31,4.7778,1.1667,4.1389,4.8056,4.5556,4.7500,4.0556,5.0000,1.0000,3.4722,4.9722,4.9167,3.4306,3.7778,4.3333,1.3056,3.4167,3.5556,4.2500,4.1389,1.0833,4.4722,4.6389,5.0000,4.6944,4.5833,4.8889,5.0000
shopping_product_recommendation,task_category,fixed_k1,6,1,1.00,1.00,5.00,5.00,0.0000,6779.5,1.00,1.00,0.00,2.00,2.11,69.89,4.8333,1.0000,1.1667,1.0000,2.0000,5.0000,3.1667,5.0000,1.0000,4.5000,5.0000,5.0000,1.8333,2.1667,2.3333,2.3333,1.3333,4.5000,3.1667,3.1667,1.0000,1.6667,5.0000,5.0000,5.0000,1.8333,4.3333,5.0000
shopping_product_recommendation,task_category,fixed_k2,6,2,2.00,2.00,9.67,9.33,0.0185,13263.5,1.00,1.00,0.00,2.00,4.07,72.30,5.0000,1.3333,2.3333,2.1667,3.3333,4.6667,4.5000,5.0000,1.0000,4.6667,5.0000,5.0000,3.1667,3.6667,3.5000,1.6667,2.3333,4.6667,4.0000,4.3333,1.0000,3.6667,5.0000,5.0000,5.0000,4.1667,5.0000,5.0000
shopping_product_recommendation,task_category,fixed_k4,6,4,4.00,4.00,18.67,16.67,0.0596,24484.5,1.00,1.00,0.00,2.00,7.49,76.94,5.0000,1.1667,3.6667,4.6667,4.6667,4.8333,4.1667,5.0000,1.0000,4.5000,4.6667,4.5000,3.1667,3.8333,4.0000,1.6667,2.3333,4.5000,4.1667,4.1667,1.5000,4.5000,4.3333,5.0000,5.0000,4.8333,4.8333,5.0000
shopping_product_recommendation,task_category,fixed_k8,6,8,8.00,8.00,37.83,30.50,0.0504,46833.5,1.00,1.00,0.00,2.00,15.26,90.44,5.0000,1.0000,4.5000,5.0000,5.0000,4.6667,4.6667,5.0000,1.0000,4.5000,5.0000,5.0000,3.6667,3.8333,4.5000,1.5000,3.0000,4.5000,4.6667,4.3333,1.0000,4.8333,4.5000,5.0000,5.0000,4.8333,5.0000,5.0000
